コード,銘柄名,市場・商品区分,33業種区分,規模区分
1301,極洋,東証1部,水産・農林業,TOPIX Small 2
1332,日本水産,東証1部,水産・農林業,TOPIX Mid400
1333,マルハニチロ,東証1部,水産・農林業,TOPIX Mid400
1352,ホウスイ,東証1部,卸売業,TOPIX Small 2
1375,雪国まいたけ,東証1部,水産・農林業,TOPIX Small 1
1376,カネコ種苗,東証1部,水産・農林業,TOPIX Small 2
1377,サカタのタネ,東証1部,水産・農林業,TOPIX Small 1
1379,ホクト,東証1部,水産・農林業,TOPIX Small 1
1380,秋川牧園,JASDAQ,水産・農林業,-
1381,アクシーズ,JASDAQ,水産・農林業,-
1382,ホーブ,JASDAQ,水産・農林業,-
1383,ベルグアース,JASDAQ,水産・農林業,-
1384,ホクリヨウ,東証1部,水産・農林業,TOPIX Small 2
1400,ルーデン・ホールディングス,JASDAQ,建設業,-
1401,エムビーエス,マザーズ,建設業,-
1407,ウエストホールディングス,JASDAQ,建設業,-
1413,ヒノキヤグループ,東証1部,建設業,TOPIX Small 2
1414,ショーボンドホールディングス,東証1部,建設業,TOPIX Mid400
1417,ミライト・ホールディングス,東証1部,建設業,TOPIX Mid400
1418,インターライフホールディングス,JASDAQ,建設業,-
1419,タマホーム,東証1部,建設業,TOPIX Small 1
1420,サンヨーホームズ,東証1部,建設業,TOPIX Small 2
1429,日本アクア,東証1部,建設業,TOPIX Small 2
1430,ファーストコーポレーション,東証1部,建設業,TOPIX Small 2
1431,Ｌｉｂ　Ｗｏｒｋ,マザーズ,建設業,-
1433,ベステラ,東証1部,建設業,TOPIX Small 2
1434,ＪＥＳＣＯホールディングス,東証2部,建設業,-
1435,Ｒｏｂｏｔ　Ｈｏｍｅ,東証1部,建設業,TOPIX Small 2
1436,フィット,マザーズ,建設業,-
1439,安江工務店,JASDAQ,建設業,-
1443,技研ホールディングス,東証2部,建設業,-
1446,キャンディル,東証1部,建設業,TOPIX Small 2
1447,ＩＴｂｏｏｋホールディングス,マザーズ,建設業,-
1450,田中建設工業,JASDAQ,建設業,-
1451,ＫＨＣ,東証2部,建設業,-
1491,中外鉱業,東証2部,非鉄金属,-
1514,住石ホールディングス,東証1部,鉱業,TOPIX Small 2
1515,日鉄鉱業,東証1部,鉱業,TOPIX Small 2
1518,三井松島ホールディングス,東証1部,鉱業,TOPIX Small 2
1605,ＩＮＰＥＸ,東証1部,鉱業,TOPIX Mid400
1662,石油資源開発,東証1部,鉱業,TOPIX Small 1
1663,Ｋ＆Ｏエナジーグループ,東証1部,鉱業,TOPIX Small 2
1711,ＳＤＳホールディングス,東証2部,建設業,-
1712,ダイセキ環境ソリューション,東証1部,建設業,TOPIX Small 2
1716,第一カッター興業,東証1部,建設業,TOPIX Small 2
1717,明豊ファシリティワークス,東証1部,サービス業,TOPIX Small 2
1718,美樹工業,JASDAQ,建設業,-
1719,安藤・間,東証1部,建設業,TOPIX Small 1
1720,東急建設,東証1部,建設業,TOPIX Small 1
1721,コムシスホールディングス,東証1部,建設業,TOPIX Mid400
1723,日本電技,JASDAQ,建設業,-
1724,シンクレイヤ,JASDAQ,建設業,-
1726,ビーアールホールディングス,東証1部,建設業,TOPIX Small 2
1730,麻生フオームクリート,JASDAQ,建設業,-
1736,オーテック,JASDAQ,建設業,-
1739,メルディアＤＣ,JASDAQ,建設業,-
1743,コーアツ工業,東証2部,建設業,-
1757,中小企業ホールディングス,東証2部,建設業,-
1758,太洋基礎工業,JASDAQ,建設業,-
1762,高松コンストラクショングループ,東証1部,建設業,TOPIX Small 2
1764,工藤建設,東証2部,建設業,-
1766,東建コーポレーション,東証1部,建設業,TOPIX Small 1
1768,ソネック,東証1部,建設業,TOPIX Small 2
1770,藤田エンジニアリング,JASDAQ,建設業,-
1775,富士古河Ｅ＆Ｃ,東証2部,建設業,-
1776,三井住建道路,東証2部,建設業,-
1780,ヤマウラ,東証1部,建設業,TOPIX Small 2
1783,アジアゲートホールディングス,JASDAQ,建設業,-
1786,オリエンタル白石,東証1部,建設業,TOPIX Small 1
1787,ナカボーテック,JASDAQ,建設業,-
1788,三東工業社,JASDAQ,建設業,-
1789,ＥＴＳホールディングス,JASDAQ,建設業,-
1793,大本組,JASDAQ,建設業,-
1795,マサル,JASDAQ,建設業,-
1798,守谷商会,JASDAQ,建設業,-
1799,第一建設工業,JASDAQ,建設業,-
1801,大成建設,東証1部,建設業,TOPIX Mid400
1802,大林組,東証1部,建設業,TOPIX Mid400
1803,清水建設,東証1部,建設業,TOPIX Mid400
1805,飛島建設,東証1部,建設業,TOPIX Small 2
1807,佐藤渡辺,JASDAQ,建設業,-
1808,長谷工コーポレーション,東証1部,建設業,TOPIX Mid400
1810,松井建設,東証1部,建設業,TOPIX Small 2
1811,錢高組,東証1部,建設業,TOPIX Small 2
1812,鹿島建設,東証1部,建設業,TOPIX Mid400
1813,不動テトラ,東証1部,建設業,TOPIX Small 1
1814,大末建設,東証1部,建設業,TOPIX Small 2
1815,鉄建建設,東証1部,建設業,TOPIX Small 2
1820,西松建設,東証1部,建設業,TOPIX Mid400
1821,三井住友建設,東証1部,建設業,TOPIX Small 1
1822,大豊建設,東証1部,建設業,TOPIX Small 1
1826,佐田建設,東証1部,建設業,TOPIX Small 2
1827,ナカノフドー建設,東証1部,建設業,TOPIX Small 2
1828,田辺工業,東証2部,建設業,-
1833,奥村組,東証1部,建設業,TOPIX Small 1
1835,東鉄工業,東証1部,建設業,TOPIX Small 1
1840,土屋ホールディングス,東証2部,建設業,-
1841,サンユー建設,JASDAQ,建設業,-
1844,大盛工業,東証2部,建設業,-
1847,イチケン,東証1部,建設業,TOPIX Small 2
1848,富士ピー・エス,東証1部,建設業,TOPIX Small 2
1850,南海辰村建設,東証2部,建設業,-
1852,淺沼組,東証1部,建設業,TOPIX Small 1
1853,森組,東証2部,建設業,-
1860,戸田建設,東証1部,建設業,TOPIX Mid400
1861,熊谷組,東証1部,建設業,TOPIX Small 1
1866,北野建設,東証1部,建設業,TOPIX Small 2
1867,植木組,東証1部,建設業,TOPIX Small 2
1870,矢作建設工業,東証1部,建設業,TOPIX Small 2
1871,ピーエス三菱,東証1部,建設業,TOPIX Small 2
1873,日本ハウスホールディングス,東証1部,建設業,TOPIX Small 2
1878,大東建託,東証1部,建設業,TOPIX Mid400
1879,新日本建設,東証1部,建設業,TOPIX Small 2
1882,東亜道路工業,東証1部,建設業,TOPIX Small 2
1884,日本道路,東証1部,建設業,TOPIX Small 2
1885,東亜建設工業,東証1部,建設業,TOPIX Small 1
1887,日本国土開発,東証1部,建設業,TOPIX Small 1
1888,若築建設,東証1部,建設業,TOPIX Small 2
1890,東洋建設,東証1部,建設業,TOPIX Small 1
1893,五洋建設,東証1部,建設業,TOPIX Mid400
1897,金下建設,東証2部,建設業,-
1898,世紀東急工業,東証1部,建設業,TOPIX Small 2
1899,福田組,東証1部,建設業,TOPIX Small 2
1904,大成温調,JASDAQ,建設業,-
1905,テノックス,JASDAQ,建設業,-
1909,日本ドライケミカル,東証1部,機械,TOPIX Small 2
1911,住友林業,東証1部,建設業,TOPIX Mid400
1914,日本基礎技術,東証1部,建設業,TOPIX Small 2
1921,巴コーポレーション,東証1部,建設業,TOPIX Small 2
1925,大和ハウス工業,東証1部,建設業,TOPIX Large70
1926,ライト工業,東証1部,建設業,TOPIX Small 1
1928,積水ハウス,東証1部,建設業,TOPIX Large70
1929,日特建設,東証1部,建設業,TOPIX Small 2
1930,北陸電気工事,東証1部,建設業,TOPIX Small 2
1934,ユアテック,東証1部,建設業,TOPIX Small 2
1938,日本リーテック,東証1部,建設業,TOPIX Small 2
1939,四電工,東証1部,建設業,TOPIX Small 2
1941,中電工,東証1部,建設業,TOPIX Small 1
1942,関電工,東証1部,建設業,TOPIX Small 1
1944,きんでん,東証1部,建設業,TOPIX Mid400
1945,東京エネシス,東証1部,建設業,TOPIX Small 2
1946,トーエネック,東証1部,建設業,TOPIX Small 2
1948,弘電社,東証2部,建設業,-
1949,住友電設,東証1部,建設業,TOPIX Small 2
1950,日本電設工業,東証1部,建設業,TOPIX Small 1
1951,エクシオグループ,東証1部,建設業,TOPIX Mid400
1952,新日本空調,東証1部,建設業,TOPIX Small 2
1954,日本工営,東証1部,サービス業,TOPIX Small 2
1959,九電工,東証1部,建設業,TOPIX Mid400
1960,サンテック,東証2部,建設業,-
1961,三機工業,東証1部,建設業,TOPIX Small 1
1963,日揮ホールディングス,東証1部,建設業,TOPIX Mid400
1964,中外炉工業,東証1部,建設業,TOPIX Small 2
1965,テクノ菱和,東証2部,建設業,-
1966,高田工業所,東証2部,建設業,-
1967,ヤマト,東証1部,建設業,TOPIX Small 2
1968,太平電業,東証1部,建設業,TOPIX Small 2
1969,高砂熱学工業,東証1部,建設業,TOPIX Small 1
1971,中央ビルト工業,東証2部,金属製品,-
1972,三晃金属工業,東証1部,建設業,TOPIX Small 2
1973,ＮＥＣネッツエスアイ,東証1部,情報・通信業,TOPIX Small 1
1975,朝日工業社,東証1部,建設業,TOPIX Small 2
1976,明星工業,東証1部,建設業,TOPIX Small 2
1979,大氣社,東証1部,建設業,TOPIX Small 1
1980,ダイダン,東証1部,建設業,TOPIX Small 2
1981,協和日成,JASDAQ,建設業,-
1982,日比谷総合設備,東証1部,建設業,TOPIX Small 2
1992,神田通信機,JASDAQ,建設業,-
1994,高橋カーテンウォール工業,JASDAQ,建設業,-
1997,暁飯島工業,JASDAQ,建設業,-
2001,ニップン,東証1部,食料品,TOPIX Small 1
2002,日清製粉グループ本社,東証1部,食料品,TOPIX Mid400
2003,日東富士製粉,東証1部,食料品,TOPIX Small 2
2004,昭和産業,東証1部,食料品,TOPIX Small 2
2009,鳥越製粉,東証1部,食料品,TOPIX Small 2
2053,中部飼料,東証1部,食料品,TOPIX Small 2
2055,日和産業,東証2部,食料品,-
2060,フィード・ワン,東証1部,食料品,TOPIX Small 2
2107,東洋精糖,東証1部,食料品,TOPIX Small 2
2108,日本甜菜製糖,東証1部,食料品,TOPIX Small 2
2109,ＤＭ三井製糖ホールディングス,東証1部,食料品,TOPIX Small 2
2112,塩水港精糖,東証1部,食料品,TOPIX Small 2
2114,フジ日本精糖,東証2部,食料品,-
2117,日新製糖,東証1部,食料品,TOPIX Small 2
2120,ＬＩＦＵＬＬ,東証1部,サービス業,TOPIX Small 2
2121,ミクシィ,東証1部,サービス業,TOPIX Small 1
2122,インタースペース,マザーズ,サービス業,-
2124,ジェイエイシーリクルートメント,東証1部,サービス業,TOPIX Small 1
2127,日本Ｍ＆Ａセンターホールディングス,東証1部,サービス業,TOPIX Mid400
2130,メンバーズ,東証1部,サービス業,TOPIX Small 2
2134,燦キャピタルマネージメント,JASDAQ,サービス業,-
2136,ヒップ,JASDAQ,サービス業,-
2138,クルーズ,JASDAQ,情報・通信業,-
2139,中広,東証1部,サービス業,TOPIX Small 2
2146,ＵＴグループ,東証1部,サービス業,TOPIX Small 1
2148,アイティメディア,東証1部,サービス業,TOPIX Small 2
2150,ケアネット,マザーズ,サービス業,-
2152,幼児活動研究会,JASDAQ,サービス業,-
2153,Ｅ・Ｊホールディングス,東証1部,サービス業,TOPIX Small 2
2154,夢真ビーネックスグループ,東証1部,サービス業,TOPIX Small 1
2156,セーラー広告,JASDAQ,サービス業,-
2157,コシダカホールディングス,東証1部,サービス業,TOPIX Small 1
2158,ＦＲＯＮＴＥＯ,マザーズ,サービス業,-
2159,フルスピード,東証2部,サービス業,-
2160,ジーエヌアイグループ,マザーズ,医薬品,-
2162,ｎｍｓ　ホールディングス,JASDAQ,サービス業,-
2163,アルトナー,東証1部,サービス業,TOPIX Small 2
2164,地域新聞社,JASDAQ,サービス業,-
2168,パソナグループ,東証1部,サービス業,TOPIX Small 1
2169,ＣＤＳ,東証1部,サービス業,TOPIX Small 2
2170,リンクアンドモチベーション,東証1部,サービス業,TOPIX Small 1
2173,博展,JASDAQ,サービス業,-
2175,エス・エム・エス,東証1部,サービス業,TOPIX Mid400
2176,イナリサーチ,JASDAQ,サービス業,-
2178,トライステージ,マザーズ,サービス業,-
2179,成学社,JASDAQ,サービス業,-
2180,サニーサイドアップグループ,東証1部,サービス業,TOPIX Small 2
2181,パーソルホールディングス,東証1部,サービス業,TOPIX Mid400
2183,リニカル,東証1部,サービス業,TOPIX Small 2
2185,シイエム・シイ,JASDAQ,サービス業,-
2186,ソーバル,JASDAQ,サービス業,-
2191,テラ,JASDAQ,サービス業,-
2193,クックパッド,東証1部,サービス業,TOPIX Small 2
2195,アミタホールディングス,JASDAQ,サービス業,-
2196,エスクリ,東証1部,サービス業,TOPIX Small 2
2198,アイ・ケイ・ケイホールディングス,東証1部,サービス業,TOPIX Small 2
2201,森永製菓,東証1部,食料品,TOPIX Mid400
2204,中村屋,東証1部,食料品,TOPIX Small 2
2206,江崎グリコ,東証1部,食料品,TOPIX Mid400
2207,名糖産業,東証1部,食料品,TOPIX Small 2
2208,ブルボン,東証2部,食料品,-
2209,井村屋グループ,東証1部,食料品,TOPIX Small 2
2211,不二家,東証1部,食料品,TOPIX Small 2
2212,山崎製パン,東証1部,食料品,TOPIX Mid400
2215,第一屋製パン,東証1部,食料品,TOPIX Small 2
2216,カンロ,東証2部,食料品,-
2217,モロゾフ,東証1部,食料品,TOPIX Small 2
2220,亀田製菓,東証1部,食料品,TOPIX Small 2
2221,岩塚製菓,JASDAQ,食料品,-
2222,寿スピリッツ,東証1部,食料品,TOPIX Small 1
2224,コモ,JASDAQ,食料品,-
2226,湖池屋,JASDAQ,食料品,-
2229,カルビー,東証1部,食料品,TOPIX Mid400
2264,森永乳業,東証1部,食料品,TOPIX Mid400
2266,六甲バター,東証1部,食料品,TOPIX Small 2
2267,ヤクルト本社,東証1部,食料品,TOPIX Mid400
2268,Ｂ－Ｒ　サーティワン　アイスクリーム,JASDAQ,食料品,-
2269,明治ホールディングス,東証1部,食料品,TOPIX Mid400
2270,雪印メグミルク,東証1部,食料品,TOPIX Mid400
2281,プリマハム,東証1部,食料品,TOPIX Small 1
2282,日本ハム,東証1部,食料品,TOPIX Mid400
2286,林兼産業,東証1部,食料品,TOPIX Small 2
2288,丸大食品,東証1部,食料品,TOPIX Small 2
2291,福留ハム,東証2部,食料品,-
2292,Ｓ　Ｆｏｏｄｓ,東証1部,食料品,TOPIX Small 1
2293,滝沢ハム,JASDAQ,食料品,-
2294,柿安本店,東証1部,食料品,TOPIX Small 2
2296,伊藤ハム米久ホールディングス,東証1部,食料品,TOPIX Small 1
2300,きょくとう,JASDAQ,サービス業,-
2301,学情,東証1部,サービス業,TOPIX Small 2
2303,ドーン,JASDAQ,情報・通信業,-
2304,ＣＳＳホールディングス,JASDAQ,サービス業,-
2305,スタジオアリス,東証1部,サービス業,TOPIX Small 2
2307,クロスキャット,東証1部,情報・通信業,TOPIX Small 2
2309,シミックホールディングス,東証1部,サービス業,TOPIX Small 2
2311,エプコ,東証1部,サービス業,TOPIX Small 2
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,JASDAQ,情報・通信業,-
2317,システナ,東証1部,情報・通信業,TOPIX Small 1
2321,ソフトフロントホールディングス,JASDAQ,情報・通信業,-
2323,ｆｏｎｆｕｎ,JASDAQ,情報・通信業,-
2325,ＮＪＳ,東証1部,サービス業,TOPIX Small 2
2326,デジタルアーツ,東証1部,情報・通信業,TOPIX Small 1
2327,日鉄ソリューションズ,東証1部,情報・通信業,TOPIX Small 1
2329,東北新社,JASDAQ,情報・通信業,-
2330,フォーサイド,JASDAQ,情報・通信業,-
2331,綜合警備保障,東証1部,サービス業,TOPIX Mid400
2332,クエスト,JASDAQ,情報・通信業,-
2334,イオレ,マザーズ,サービス業,-
2335,キューブシステム,東証1部,情報・通信業,TOPIX Small 2
2337,いちご,東証1部,不動産業,TOPIX Small 1
2338,クオンタムソリューションズ,東証2部,情報・通信業,-
2340,極楽湯ホールディングス,JASDAQ,サービス業,-
2341,アルバイトタイムス,JASDAQ,サービス業,-
2342,トランスジェニック,マザーズ,サービス業,-
2344,平安レイサービス,JASDAQ,サービス業,-
2345,クシム,東証2部,情報・通信業,-
2349,エヌアイデイ,JASDAQ,情報・通信業,-
2351,ＡＳＪ,マザーズ,情報・通信業,-
2352,ＷＯＷ　ＷＯＲＬＤ,東証1部,情報・通信業,TOPIX Small 2
2353,日本駐車場開発,東証1部,不動産業,TOPIX Small 1
2354,ＹＥ　ＤＩＧＩＴＡＬ,東証2部,情報・通信業,-
2359,コア,東証1部,情報・通信業,TOPIX Small 2
2370,メディネット,マザーズ,サービス業,-
2371,カカクコム,東証1部,サービス業,TOPIX Mid400
2372,アイロムグループ,東証1部,サービス業,TOPIX Small 2
2373,ケア２１,JASDAQ,サービス業,-
2374,セントケア・ホールディング,東証1部,サービス業,TOPIX Small 2
2375,ギグワークス,東証2部,サービス業,-
2376,サイネックス,東証1部,サービス業,TOPIX Small 2
2378,ルネサンス,東証1部,サービス業,TOPIX Small 2
2379,ディップ,東証1部,サービス業,TOPIX Small 1
2384,ＳＢＳホールディングス,東証1部,陸運業,TOPIX Small 1
2385,総医研ホールディングス,マザーズ,サービス業,-
2388,ウェッジホールディングス,JASDAQ,その他金融業,-
2389,デジタルホールディングス,東証1部,サービス業,TOPIX Small 2
2391,プラネット,JASDAQ,サービス業,-
2393,日本ケアサプライ,東証2部,サービス業,-
2395,新日本科学,東証1部,サービス業,TOPIX Small 2
2397,ＤＮＡチップ研究所,東証2部,サービス業,-
2402,アマナ,マザーズ,サービス業,-
2404,鉄人化計画,東証2部,サービス業,-
2406,アルテ　サロン　ホールディングス,JASDAQ,サービス業,-
2408,ＫＧ情報,JASDAQ,サービス業,-
2410,キャリアデザインセンター,東証1部,サービス業,TOPIX Small 2
2411,ゲンダイエージェンシー,JASDAQ,情報・通信業,-
2412,ベネフィット・ワン,東証1部,サービス業,TOPIX Mid400
2413,エムスリー,東証1部,サービス業,TOPIX Large70
2415,ヒューマンホールディングス,JASDAQ,サービス業,-
2418,ツカダ・グローバルホールディング,東証1部,サービス業,TOPIX Small 2
2424,ブラス,東証1部,サービス業,TOPIX Small 2
2425,ケアサービス,東証2部,サービス業,-
2427,アウトソーシング,東証1部,サービス業,TOPIX Mid400
2428,ウェルネット,東証1部,サービス業,TOPIX Small 2
2429,ワールドホールディングス,東証1部,サービス業,TOPIX Small 2
2432,ディー・エヌ・エー,東証1部,サービス業,TOPIX Mid400
2433,博報堂ＤＹホールディングス,東証1部,サービス業,TOPIX Mid400
2435,シダー,JASDAQ,サービス業,-
2436,共同ピーアール,JASDAQ,サービス業,-
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,JASDAQ,サービス業,-
2438,アスカネット,マザーズ,サービス業,-
2440,ぐるなび,東証1部,サービス業,TOPIX Small 2
2445,タカミヤ,東証1部,サービス業,TOPIX Small 2
2449,プラップジャパン,JASDAQ,サービス業,-
2453,ジャパンベストレスキューシステム,東証1部,サービス業,TOPIX Small 2
2454,オールアバウト,JASDAQ,サービス業,-
2459,アウンコンサルティング,東証2部,サービス業,-
2461,ファンコミュニケーションズ,東証1部,サービス業,TOPIX Small 2
2462,ライク,東証1部,サービス業,TOPIX Small 2
2464,ビジネス・ブレークスルー,東証1部,サービス業,TOPIX Small 2
2468,フュートレック,東証2部,サービス業,-
2469,ヒビノ,JASDAQ,サービス業,-
2471,エスプール,東証1部,サービス業,TOPIX Small 1
2475,ＷＤＢホールディングス,東証1部,サービス業,TOPIX Small 2
2477,手間いらず,東証1部,サービス業,TOPIX Small 2
2479,ジェイテック,JASDAQ,サービス業,-
2480,システム・ロケーション,JASDAQ,情報・通信業,-
2481,タウンニュース社,JASDAQ,サービス業,-
2483,翻訳センター,JASDAQ,サービス業,-
2484,出前館,JASDAQ,情報・通信業,-
2485,ティア,東証1部,サービス業,TOPIX Small 2
2487,ＣＤＧ,東証1部,サービス業,TOPIX Small 2
2488,ＪＴＰ,JASDAQ,サービス業,-
2489,アドウェイズ,東証1部,サービス業,TOPIX Small 2
2491,バリューコマース,東証1部,サービス業,TOPIX Small 1
2492,インフォマート,東証1部,サービス業,TOPIX Mid400
2493,イーサポートリンク,JASDAQ,サービス業,-
2497,ユナイテッド,マザーズ,サービス業,-
2498,オリエンタルコンサルタンツホールディングス,JASDAQ,サービス業,-
2499,日本和装ホールディングス,東証2部,サービス業,-
2501,サッポロホールディングス,東証1部,食料品,TOPIX Mid400
2502,アサヒグループホールディングス,東証1部,食料品,TOPIX Large70
2503,キリンホールディングス,東証1部,食料品,TOPIX Large70
2531,宝ホールディングス,東証1部,食料品,TOPIX Mid400
2533,オエノンホールディングス,東証1部,食料品,TOPIX Small 2
2540,養命酒製造,東証1部,食料品,TOPIX Small 2
2573,北海道コカ・コーラボトリング,東証2部,食料品,-
2579,コカ・コーラ　ボトラーズジャパンホールディングス,東証1部,食料品,TOPIX Mid400
2585,ライフドリンク　カンパニー,東証2部,食料品,-
2586,フルッタフルッタ,マザーズ,食料品,-
2587,サントリー食品インターナショナル,東証1部,食料品,TOPIX Mid400
2588,プレミアムウォーターホールディングス,東証2部,食料品,-
2590,ダイドーグループホールディングス,東証1部,食料品,TOPIX Small 1
2593,伊藤園,東証1部,食料品,TOPIX Mid400
25935,伊藤園 優先株式,東証1部,食料品,-
2594,キーコーヒー,東証1部,食料品,TOPIX Small 2
2597,ユニカフェ,東証1部,食料品,TOPIX Small 2
2599,ジャパンフーズ,東証1部,食料品,TOPIX Small 2
2602,日清オイリオグループ,東証1部,食料品,TOPIX Small 1
2607,不二製油グループ本社,東証1部,食料品,TOPIX Mid400
2612,かどや製油,東証1部,食料品,TOPIX Small 2
2613,Ｊ－オイルミルズ,東証1部,食料品,TOPIX Small 2
2651,ローソン,東証1部,小売業,TOPIX Mid400
2652,まんだらけ,東証2部,小売業,-
2653,イオン九州,JASDAQ,小売業,-
2654,アスモ,東証2部,小売業,-
2656,ベクター,JASDAQ,小売業,-
2659,サンエー,東証1部,小売業,TOPIX Small 1
2664,カワチ薬品,東証1部,小売業,TOPIX Small 1
2666,オートウェーブ,JASDAQ,小売業,-
2667,イメージ　ワン,JASDAQ,卸売業,-
2668,タビオ,東証2部,卸売業,-
2669,カネ美食品,JASDAQ,小売業,-
2670,エービーシー・マート,東証1部,小売業,TOPIX Mid400
2673,夢みつけ隊,JASDAQ,小売業,-
2674,ハードオフコーポレーション,東証1部,小売業,TOPIX Small 2
2676,高千穂交易,東証1部,卸売業,TOPIX Small 2
2678,アスクル,東証1部,小売業,TOPIX Small 1
2681,ゲオホールディングス,東証1部,小売業,TOPIX Small 1
2683,魚喜,東証2部,小売業,-
2685,アダストリア,東証1部,小売業,TOPIX Small 1
2686,ジーフット,東証1部,小売業,TOPIX Small 2
2687,シー・ヴイ・エス・ベイエリア,東証1部,小売業,TOPIX Small 2
2689,オルバヘルスケアホールディングス,東証1部,卸売業,TOPIX Small 2
2692,伊藤忠食品,東証1部,卸売業,TOPIX Small 2
2693,ＹＫＴ,JASDAQ,卸売業,-
2694,焼肉坂井ホールディングス,JASDAQ,小売業,-
2695,くら寿司,東証1部,小売業,TOPIX Small 1
2698,キャンドゥ,東証1部,小売業,TOPIX Small 2
2700,木徳神糧,JASDAQ,卸売業,-
2702,日本マクドナルドホールディングス,JASDAQ,小売業,-
2705,大戸屋ホールディングス,JASDAQ,小売業,-
2706,ブロッコリー,JASDAQ,その他製品,-
2708,久世,JASDAQ,卸売業,-
2715,エレマテック,東証1部,卸売業,TOPIX Small 2
2721,ジェイホールディングス,JASDAQ,卸売業,-
2722,アイケイ,東証1部,小売業,TOPIX Small 2
2726,パルグループホールディングス,東証1部,小売業,TOPIX Small 1
2729,ＪＡＬＵＸ,東証1部,卸売業,TOPIX Small 2
2730,エディオン,東証1部,小売業,TOPIX Small 1
2733,あらた,東証1部,卸売業,TOPIX Small 1
2734,サーラコーポレーション,東証1部,小売業,TOPIX Small 2
2735,ワッツ,東証1部,小売業,TOPIX Small 2
2736,フェスタリアホールディングス,JASDAQ,小売業,-
2737,トーメンデバイス,東証1部,卸売業,TOPIX Small 2
2742,ハローズ,東証1部,小売業,TOPIX Small 2
2743,ピクセルカンパニーズ,JASDAQ,卸売業,-
2747,北雄ラッキー,JASDAQ,小売業,-
2749,ＪＰホールディングス,東証1部,サービス業,TOPIX Small 2
2750,石光商事,JASDAQ,卸売業,-
2751,テンポスホールディングス,JASDAQ,卸売業,-
2752,フジオフードグループ本社,東証1部,小売業,TOPIX Small 2
2753,あみやき亭,東証1部,小売業,TOPIX Small 2
2754,東葛ホールディングス,JASDAQ,小売業,-
2760,東京エレクトロン　デバイス,東証1部,卸売業,TOPIX Small 1
2761,トシン・グループ,JASDAQ,卸売業,-
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,東証2部,小売業,-
2763,エフティグループ,JASDAQ,卸売業,-
2764,ひらまつ,東証1部,小売業,TOPIX Small 2
2767,フィールズ,東証1部,卸売業,TOPIX Small 2
2768,双日,東証1部,卸売業,TOPIX Mid400
2769,ウ゛ィレッジウ゛ァンガードコーポレーション,JASDAQ,小売業,-
2773,ミューチュアル,JASDAQ,機械,-
2776,新都ホールディングス,JASDAQ,卸売業,-
2777,カッシーナ・イクスシー,JASDAQ,卸売業,-
2778,パレモ・ホールディングス,東証2部,小売業,-
2780,コメ兵ホールディングス,東証2部,小売業,-
2782,セリア,JASDAQ,小売業,-
2784,アルフレッサ　ホールディングス,東証1部,卸売業,TOPIX Mid400
2788,アップルインターナショナル,東証2部,卸売業,-
2789,カルラ,JASDAQ,小売業,-
2790,ナフコ,JASDAQ,小売業,-
2791,大黒天物産,東証1部,小売業,TOPIX Small 1
2792,ハニーズホールディングス,東証1部,小売業,TOPIX Small 2
2795,日本プリメックス,JASDAQ,卸売業,-
2796,ファーマライズホールディングス,東証1部,小売業,TOPIX Small 2
2798,ワイズテーブルコーポレーション,東証2部,小売業,-
2801,キッコーマン,東証1部,食料品,TOPIX Mid400
2802,味の素,東証1部,食料品,TOPIX Large70
2804,ブルドックソース,東証1部,食料品,TOPIX Small 2
2805,ヱスビー食品,東証2部,食料品,-
2806,ユタカフーズ,東証2部,食料品,-
2809,キユーピー,東証1部,食料品,TOPIX Mid400
2810,ハウス食品グループ本社,東証1部,食料品,TOPIX Mid400
2811,カゴメ,東証1部,食料品,TOPIX Mid400
2812,焼津水産化学工業,東証1部,食料品,TOPIX Small 2
2813,和弘食品,JASDAQ,食料品,-
2814,佐藤食品工業,JASDAQ,食料品,-
2815,アリアケジャパン,東証1部,食料品,TOPIX Mid400
2816,ダイショー,東証2部,食料品,-
2818,ピエトロ,東証1部,食料品,TOPIX Small 2
2819,エバラ食品工業,東証1部,食料品,TOPIX Small 2
2820,やまみ,東証1部,食料品,TOPIX Small 2
2830,アヲハタ,東証2部,食料品,-
2831,はごろもフーズ,東証2部,食料品,-
2871,ニチレイ,東証1部,食料品,TOPIX Mid400
2872,セイヒョー,東証2部,食料品,-
2874,横浜冷凍,東証1部,卸売業,TOPIX Small 2
2875,東洋水産,東証1部,食料品,TOPIX Mid400
2876,デルソーレ,JASDAQ,食料品,-
2877,日東ベスト,JASDAQ,食料品,-
2882,イートアンドホールディングス,東証1部,食料品,TOPIX Small 2
2883,大冷,東証1部,食料品,TOPIX Small 2
2884,ヨシムラ・フード・ホールディングス,東証1部,食料品,TOPIX Small 2
2892,日本食品化工,東証2部,食料品,-
2894,石井食品,東証2部,食料品,-
2897,日清食品ホールディングス,東証1部,食料品,TOPIX Mid400
2899,永谷園ホールディングス,東証1部,食料品,TOPIX Small 2
2901,石垣食品,JASDAQ,食料品,-
2903,シノブフーズ,東証2部,食料品,-
2904,一正蒲鉾,東証1部,食料品,TOPIX Small 2
2905,オーケー食品工業,JASDAQ,食料品,-
