コード,銘柄名,市場・商品区分,33業種区分,規模区分
9143,ＳＧホールディングス,東証1部,陸運業,TOPIX Mid400
9145,ビーイングホールディングス,東証2部,陸運業,-
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,東証1部,陸運業,TOPIX Mid400
9171,栗林商船,東証2部,海運業,-
9173,東海汽船,東証2部,海運業,-
9176,佐渡汽船,JASDAQ,海運業,-
9179,川崎近海汽船,東証2部,海運業,-
9193,東京汽船,東証2部,倉庫・運輸関連業,-
9201,日本航空,東証1部,空運業,TOPIX Mid400
9202,ＡＮＡホールディングス,東証1部,空運業,TOPIX Large70
9206,スターフライヤー,東証2部,空運業,-
9211,エフ・コード,マザーズ,サービス業,-
9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,マザーズ,サービス業,-
9213,セイファート,JASDAQ,サービス業,-
9214,Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,マザーズ,サービス業,-
9215,ＣａＳｙ,マザーズ,サービス業,-
9216,ビーウィズ,東証1部,サービス業,-
9218,メンタルヘルステクノロジーズ,マザーズ,サービス業,-
9219,ギックス,マザーズ,サービス業,-
9232,パスコ,東証1部,空運業,TOPIX Small 2
9233,アジア航測,東証2部,空運業,-
9240,デリバリーコンサルティング,マザーズ,サービス業,-
9241,フューチャーリンクネットワーク,マザーズ,サービス業,-
9242,メディア総研,マザーズ,サービス業,-
9244,デジタリフト,マザーズ,サービス業,-
9245,リベロ,マザーズ,サービス業,-
9246,プロジェクトカンパニー,マザーズ,サービス業,-
9247,ＴＲＥホールディングス,東証1部,サービス業,TOPIX Small 1
9248,人・夢・技術グループ,東証1部,サービス業,TOPIX Small 2
9249,日本エコシステム,東証2部,サービス業,-
9250,ＧＲＣＳ,マザーズ,サービス業,-
9251,ＡＢ＆Ｃｏｍｐａｎｙ,マザーズ,サービス業,-
9252,ラストワンマイル,マザーズ,サービス業,-
9253,スローガン,マザーズ,サービス業,-
9254,ラバブルマーケティンググループ,マザーズ,サービス業,-
9256,サクシード,マザーズ,サービス業,-
9258,ＣＳ－Ｃ,マザーズ,サービス業,-
9259,タカヨシ,マザーズ,サービス業,-
9260,西本Ｗｉｓｍｅｔｔａｃホールディングス,東証1部,卸売業,TOPIX Small 2
9262,シルバーライフ,東証1部,小売業,TOPIX Small 2
9263,ビジョナリーホールディングス,JASDAQ,小売業,-
9264,ポエック,JASDAQ,卸売業,-
9265,ヤマシタヘルスケアホールディングス,東証1部,卸売業,TOPIX Small 2
9267,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,東証1部,小売業,TOPIX Small 1
9268,オプティマスグループ,東証2部,卸売業,-
9270,バリュエンスホールディングス,マザーズ,卸売業,-
9271,和心,マザーズ,小売業,-
